City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
614,Binga,ZW,23.84,broken clouds,-17.62,27.34,Lakeview Inn Binga
622,Port-Gentil,GA,24.98,few clouds,-0.72,8.78,Fengshui Residence
623,Emerald,AU,24.08,clear sky,-23.53,148.17,The Irish Village
644,Darnah,LY,23.94,clear sky,32.77,22.64,زاوية الرفاعي
646,Piacabucu,BR,24.44,overcast clouds,-10.41,-36.43,Piaçabuçu News
648,Xuddur,SO,23.15,broken clouds,4.12,43.89,Banjanay Hotel
655,Saint-Pierre,RE,22.8,clear sky,-21.34,55.48,Lindsey Hôtel
658,Mattru,SL,23.71,scattered clouds,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
665,Meulaboh,ID,24.41,overcast clouds,4.14,96.13,Kost Pria
668,Roebourne,AU,22.85,few clouds,-20.78,117.13,Latitude20 Roebourne Village
677,Thanh Hoa,VN,23.82,overcast clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
682,Behbahan,IR,22.62,clear sky,30.6,50.24,Hemidecenglyaei
686,Hiji,JP,24.28,few clouds,33.37,131.53,Hotel & Resorts BEPPUWAN
