,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Morros,BR,-9.45,-46.30,33.17,20,94,2.3,overcast clouds
83,Mandera,KE,3.94,41.87,28.16,56,100,8.18,overcast clouds
84,Makat,KZ,47.65,53.35,9.58,39,1,3.19,clear sky
85,Pacific Grove,US,36.62,-121.92,28.65,74,1,2.68,clear sky
86,Puerto Escondido,MX,15.85,-97.07,31.46,58,40,3.09,scattered clouds
87,Krasnoselkup,RU,65.70,82.47,-3.67,79,51,5.31,broken clouds
88,Poum,NC,-20.23,164.02,23.7,65,12,8.75,few clouds
89,Santander,ES,43.46,-3.80,16.37,87,75,0.45,broken clouds
90,Amapa,BR,1.00,-52.00,23.36,93,94,4.05,overcast clouds
91,Bluff,NZ,-46.60,168.33,9.33,91,100,2.88,overcast clouds
92,Davila,PH,18.47,120.58,26.99,92,100,14.2,heavy intensity rain
93,Chokurdakh,RU,70.63,147.92,-7.66,88,100,2.48,overcast clouds
94,Yichun,CN,47.70,128.90,2.86,79,0,3.55,clear sky
95,Faanui,PF,-16.48,-151.75,26.37,75,38,5.76,scattered clouds
96,Isangel,VU,-19.55,169.27,27.06,65,20,5.14,few clouds
97,Tecoanapa,MX,16.52,-98.75,29.13,71,8,2.95,clear sky
98,Tuatapere,NZ,-46.13,167.68,9.34,96,100,1.86,overcast clouds
99,Paamiut,GL,61.99,-49.67,2.59,62,100,4.59,overcast clouds
100,Asau,RO,46.43,26.40,4.86,47,35,1.0,light snow
101,Hilo,US,19.73,-155.09,27.85,79,75,7.2,moderate rain
102,Ketchikan,US,55.34,-131.65,9.26,81,75,3.09,light rain
103,Bandarbeyla,SO,9.49,50.81,25.93,88,87,9.04,overcast clouds
104,Yulara,AU,-25.24,130.99,12.91,71,90,5.14,overcast clouds
105,Khatanga,RU,71.97,102.50,-8.74,96,100,2.26,light snow
106,Bartica,GY,6.40,-58.62,28.18,76,92,2.66,overcast clouds
